section,item,description,price
Combo Meals,3 Brisket Sliders,"Brioche buns, bread and butter pickle. Choice of 1 side",16
Combo Meals,3 Pulled Pork Sliders,"Brioche buns, bread and butter pickle. Choice of 1 side",15
Combo Meals,Wagyu Hot Dog,"1/4 lb wagyu dog on a bun, bag of chips",8
Combo Meals,Brisket Plate,"1/2 lb smoked prime brisket. Choice of 1 side",18
Combo Meals,Pulled Pork Plate,"1/2 lb smoked and pulled pork butt. Choice of 1 side",16
Combo Meals,Baby Back Ribs (Half Rack),"Smoked low and slow. Choice of 1 side",16
Combo Meals,Brisket Chili (16 oz),"Ground brisket, chopped and smoked brisket",10
Smoked Meats,Prime Brisket (1 lb),"Sliced prime brisket, smoked low and slow",32
Smoked Meats,Pulled Pork (1 lb),"Smoked and pulled pork butt",22
Smoked Meats,Ribs (Full Rack),"Slow-smoked baby back ribs",28
Sides,Loaded Potato Salad,"",0
Sides,Pulled Pork BBQ Beans,"",0
Sides,Potato Chips,"Classic Lay's",0
